Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time
3rd,C,01MAY08,C,01JAN17,01JUN15,C,C,C,2018-05-01
Other Workers,C,01MAY08,C,01JAN17,01MAY07,C,C,C,2018-05-01
4th,C,C,22OCT16,C,C,C,15DEC15,C,2018-05-01
Certain Religious Workers,C,C,22OCT16,C,C,C,15DEC15,C,2018-05-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22JUL14,C,C,22JUL14,2018-05-01
5th Regional Center (I5 and R5),C,C,C,C,22JUL14,C,C,22JUL14,2018-05-01
1st,C,01JAN12,C,C,01JAN12,C,C,C,2018-06-01
2nd,C,26DEC08,C,C,01SEP14,C,C,C,2018-06-01
3rd,C,01MAY08,C,01JAN17,01JUN15,C,C,C,2018-06-01
Other Workers,C,01MAY08,C,01JAN17,01MAY07,C,C,C,2018-06-01
4th,C,C,22OCT16,C,C,C,15DEC15,C,2018-06-01
Certain Religious Workers,C,C,22OCT16,C,C,C,15DEC15,C,2018-06-01
5th Non-Regional Center (C5 and T5),C,C,C,C,01AUG14,C,C,01AUG14,2018-06-01
5th Regional Center (I5 and R5),C,C,C,C,01AUG14,C,C,01AUG14,2018-06-01
1st,C,01JAN12,C,C,01JAN12,C,C,C,2018-07-01
2nd,C,15MAR09,C,C,01JAN15,C,C,C,2018-07-01
3rd,C,01NOV08,C,01JAN17,01JAN13,C,C,C,2018-07-01
Other Workers,C,01NOV08,C,01JAN17,01MAY07,C,C,C,2018-07-01
4th,C,C,08FEB16,C,C,C,08FEB16,C,2018-07-01
Certain Religious Workers,C,C,08FEB16,C,C,C,08FEB16,C,2018-07-01
5th Non-Regional Center (C5 and T5),C,C,C,C,01AUG14,C,C,01AUG14,2018-07-01
5th Regional Center (I5 and R5),C,C,C,C,01AUG14,C,C,01AUG14,2018-07-01
1st,01MAY16,01JAN12,01MAY16,01MAY16,01JAN12,C,01MAY16,01MAY16,2018-08-01
2nd,C,15MAR09,C,C,01MAR15,C,C,C,2018-08-01
3rd,C,01JAN09,C,01JUN17,01JUL14,C,C,C,2018-08-01
Other Workers,C,01JAN09,C,01JUN17,01MAY07,C,C,C,2018-08-01
4th,C,08FEB16,08FEB16,C,C,C,08FEB16,C,2018-08-01
Certain Religious Workers,C,08FEB16,08FEB16,C,C,C,08FEB16,C,2018-08-01
5th Non-Regional Center (C5 and T5),C,C,C,C,01AUG14,C,C,01AUG14,2018-08-01
5th Regional Center (I5 and R5),C,C,C,C,01AUG14,C,C,01AUG14,2018-08-01
1st,01JUN16,01JAN12,01JUN16,01JUN16,01JAN12,C,01JUN16,01JUN16,2018-09-01
2nd,01JAN13,01JAN07,01JAN13,01JAN13,01JAN13,C,01JAN13,01JAN13,2018-09-01
3rd,01NOV16,01JAN03,01NOV16,01NOV16,01NOV14,C,01NOV16,01NOV16,2018-09-01
Other Workers,01NOV16,01JAN03,01NOV16,01NOV16,01MAY07,C,01NOV16,01NOV16,2018-09-01
4th,C,15FEB16,15FEB16,C,C,C,15FEB16,C,2018-09-01
Certain Religious Workers,C,15FEB16,15FEB16,C,C,C,15FEB16,C,2018-09-01
5th Non-Regional Center (C5 and T5),C,C,C,C,08AUG14,C,C,08AUG14,2018-09-01
5th Regional Center (I5 and R5),C,C,C,C,08AUG14,C,C,08AUG14,2018-09-01
1st,01APR17,01JUN16,01APR17,01APR17,01JUN16,C,01APR17,01APR17,2018-10-01
2nd,C,26MAR09,C,C,01APR15,C,C,C,2018-10-01
3rd,C,01JAN09,C,01JUN17,01JUN15,C,C,C,2018-10-01
Other Workers,C,01JAN09,C,01JUN17,01MAY07,C,C,C,2018-10-01
4th,C,C,22OCT16,C,C,C,15FEB16,C,2018-10-01
Certain Religious Workers,U,U,U,U,U,C,U,U,2018-10-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15AUG14,C,C,01JAN16,2018-10-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,2018-10-01
1st,01APR17,01JUN16,01APR17,01APR17,01JUN16,C,01APR17,01APR17,2018-11-01
2nd,C,26MAR09,C,C,15MAY15,C,C,C,2018-11-01
3rd,C,01JAN09,C,08JUN17,01JUN15,C,C,C,2018-11-01
Other Workers,C,01JAN09,C,08JUN17,01MAY07,C,C,C,2018-11-01
4th,C,C,22NOV16,C,C,C,15FEB16,C,2018-11-01
Certain Religious Workers,C,C,22NOV16,C,C,C,15FEB16,C,2018-11-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15AUG14,C,C,01FEB16,2018-11-01
5th Regional Center (I5 and R5),C,C,C,C,15AUG14,C,C,01FEB16,2018-11-01
1st,01JUL17,01SEP16,01JUL17,01JUL17,01SEP16,C,01JUL17,01JUL17,2018-12-01
2nd,C,01APR09,C,C,01JUL15,C,C,C,2018-12-01
3rd,C,01MAR09,C,15JUN17,08JUN15,C,C,C,2018-12-01
Other Workers,C,01MAR09,C,15JUN17,01JUN07,C,C,C,2018-12-01
4th,C,C,01JAN17,C,C,C,22FEB16,C,2018-12-01
Certain Religious Workers,C,C,01JAN17,C,C,C,22FEB16,C,2018-12-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22AUG14,C,C,01MAY16,2018-12-01
5th Regional Center (I5 and R5),C,C,C,C,22AUG14,C,C,01MAY16,2018-12-01
1st,01OCT17,15DEC16,01OCT17,01OCT17,15DEC16,C,01OCT17,01OCT17,2019-01-01
2nd,C,01APR09,C,C,01AUG15,C,C,C,2019-01-01
3rd,C,01MAR09,C,22JUN17,08JUN15,C,C,C,2019-01-01
Other Workers,C,01MAR09,C,22JUN17,01JUL07,C,C,C,2019-01-01
4th,C,C,15APR17,C,C,C,22FEB16,C,2019-01-01
Certain Religious Workers,U,U,U,U,U,C,U,U,2019-01-01
5th Non-Regional Center (C5 and T5),C,C,C,C,01SEP14,C,C,01JUN16,2019-01-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,2019-01-01
1st,01DEC17,08FEB17,01DEC17,01DEC17,08FEB17,C,01DEC17,01DEC17,2019-02-01
2nd,C,06APR09,C,C,01OCT15,C,C,C,2019-02-01
3rd,C,22APR09,C,01AUG17,01JUL15,C,C,C,2019-02-01
Other Workers,C,22APR09,C,01AUG17,01AUG07,C,C,C,2019-02-01
4th,C,C,01SEP17,C,C,C,01MAR16,C,2019-02-01
Certain Religious Workers,U,U,U,U,U,C,U,U,2019-02-01
5th Non-Regional Center (C5 and T5),C,C,C,C,01SEP14,C,C,15JUN16,2019-02-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,2019-02-01
1st,01JAN18,22FEB17,01JAN18,01JAN18,22FEB17,C,01JAN18,01JAN18,2019-03-01
2nd,C,09APR09,C,C,01JAN16,C,C,C,2019-03-01
3rd,C,22MAY09,C,01DEC17,08JUL15,C,C,C,2019-03-01
Other Workers,C,22MAY09,C,01DEC17,15AUG07,C,C,C,2019-03-01
4th,C,C,01JAN18,C,C,C,01MAR16,C,2019-03-01
Certain Religious Workers,U,U,U,U,U,C,U,U,2019-03-01
5th Non-Regional Center (C5 and T5),C,C,C,C,08SEP14,C,C,15JUL16,2019-03-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,2019-03-01
1st,01FEB18,22FEB17,01FEB18,01FEB18,22FEB17,C,01FEB18,01FEB18,2019-04-01
2nd,C,12APR09,C,C,01APR16,C,C,C,2019-04-01
3rd,C,22JUN09,C,01MAR18,01AUG15,C,C,C,2019-04-01
Other Workers,C,22JUN09,C,01MAR18,22AUG07,C,C,C,2019-04-01
4th,C,C,01APR18,C,C,C,08MAR16,C,2019-04-01
Certain Religious Workers,C,C,01APR18,C,C,C,08MAR16,C,2019-04-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15SEP14,C,C,22AUG16,2019-04-01
5th Regional Center (I5 and R5),C,C,C,C,15SEP14,C,C,22AUG16,2019-04-01
1st,01MAR18,22FEB17,01MAR18,01MAR18,22FEB17,C,01MAR18,01MAR18,2019-05-01
2nd,C,16APR09,C,C,15MAY16,C,C,C,2019-05-01
3rd,C,01JUL09,C,01JUN18,22AUG15,C,C,C,2019-05-01
Other Workers,C,01JUL09,C,01JUN18,01SEP07,C,C,C,2019-05-01
4th,C,C,01AUG18,C,C,C,08MAR16,C,2019-05-01
Certain Religious Workers,C,C,01AUG18,C,C,C,08MAR16,C,2019-05-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22SEP14,C,C,22SEP16,2019-05-01
5th Regional Center (I5 and R5),C,C,C,C,22SEP14,C,C,22SEP16,2019-05-01
1st,22APR18,01JAN15,22APR18,22APR18,22FEB17,C,22APR18,22APR18,2019-06-01
2nd,C,19APR09,C,C,01AUG16,C,C,C,2019-06-01
3rd,C,01JUL09,C,01NOV18,15SEP15,C,C,C,2019-06-01
Other Workers,C,01JUL09,C,01NOV18,01SEP07,C,C,C,2019-06-01
4th,C,C,01OCT18,C,C,C,22MAR16,C,2019-06-01
Certain Religious Workers,C,C,01OCT18,C,C,C,22MAR16,C,2019-06-01
5th Non-Regional Center (C5 and T5),C,C,C,C,01OCT14,C,C,01OCT16,2019-06-01
5th Regional Center (I5 and R5),C,C,C,C,01OCT14,C,C,01OCT16,2019-06-01
1st,22APR18,01JAN15,22APR18,22APR18,08MAY17,C,22APR18,22APR18,2019-07-01
2nd,C,24APR09,C,C,01NOV16,C,C,C,2019-07-01
3rd,C,01JUL09,C,C,01JAN16,C,C,C,2019-07-01
Other Workers,C,01JUL09,C,C,22NOV07,C,C,C,2019-07-01
4th,C,C,01JUL16,C,C,C,01JUL16,C,2019-07-01
Certain Religious Workers,C,C,01JUL16,C,C,C,01JUL16,C,2019-07-01
5th Non-Regional Center (C5 and T5),C,01MAY17,C,C,01OCT14,C,C,01OCT16,2019-07-01
5th Regional Center (I5 and R5),C,01MAY17,C,C,01OCT14,C,C,01OCT16,2019-07-01
1st,01JUL16,01JAN15,01JUL16,01JUL16,01JUL16,C,01JUL16,01JUL16,2019-08-01
2nd,01JAN17,02MAY09,01JAN17,01JAN17,01JAN17,C,01JAN17,01JAN17,2019-08-01
3rd,01JUL16,01JAN06,01JUL16,01JUL16,01JUL16,C,01JUL16,01JUL16,2019-08-01
Other Workers,01JUL16,01JAN06,01JUL16,01JUL16,22NOV07,C,01JUL16,01JUL16,2019-08-01
4th,C,C,01JUL16,C,C,C,01JUL16,C,2019-08-01
Certain Religious Workers,C,C,01JUL16,C,C,C,01JUL16,C,2019-08-01
5th Non-Regional Center (C5 and T5),C,15OCT14,C,C,15OCT14,C,C,15OCT14,2019-08-01
5th Regional Center (I5 and R5),C,15OCT14,C,C,15OCT14,C,C,15OCT14,2019-08-01
1st,01OCT17,U,01OCT17,01OCT17,01JAN14,C,01OCT17,01OCT17,2019-09-01
2nd,01JAN18,08MAY09,01JAN18,01JAN18,01JAN17,C,01JAN18,01JAN18,2019-09-01
3rd,01JUL16,01JUL05,01JUL16,01JUL16,01JAN14,C,01JUL16,01JUL16,2019-09-01
Other Workers,01JUL16,01JUL05,01JUL16,01JUL16,22NOV07,C,01JUL16,01JUL16,2019-09-01
4th,U,U,U,U,U,C,U,U,2019-09-01
Certain Religious Workers,U,U,U,U,U,C,U,U,2019-09-01
5th Non-Regional Center (C5 and T5),C,01SEP17,C,C,22OCT14,C,C,22OCT14,2019-09-01
5th Regional Center (I5 and R5),C,01SEP17,C,C,22OCT14,C,C,22OCT14,2019-09-01
1st,22APR18,01JAN15,22APR18,22APR18,01NOV16,C,22APR18,22APR18,2019-10-01
2nd,C,12MAY09,C,C,01JAN15,C,C,C,2019-10-01
3rd,C,01JAN09,C,15OCT17,01NOV15,C,C,C,2019-10-01
Other Workers,C,01JAN09,C,15OCT17,01JAN08,C,C,C,2019-10-01
4th,C,C,01MAY17,C,C,C,01JUL16,C,2019-10-01
Certain Religious Workers,U,U,U,U,U,C,U,U,2019-10-01
5th Non-Regional Center (C5 and T5),C,22NOV17,C,C,22OCT14,C,C,15OCT16,2019-10-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,2019-10-01
1st,01JUN18,01JAN15,01JUN18,01JUN18,01FEB17,C,01JUN18,01JUN18,2019-11-01
2nd,C,13MAY09,C,C,15MAR15,C,C,C,2019-11-01
3rd,C,01JAN09,C,01FEB18,01NOV15,C,C,C,2019-11-01
Other Workers,C,01JAN09,C,01FEB18,01FEB08,C,C,C,2019-11-01
4th,C,C,22JUL17,C,C,C,01JUL16,C,2019-11-01
Certain Religious Workers,C,C,22JUL17,C,C,C,01JUL16,C,2019-11-01
5th Non-Regional Center (C5 and T5),C,08DEC17,C,C,01NOV14,C,C,15NOV16,2019-11-01
5th Regional Center (I5 and R5),C,08DEC17,C,C,01NOV14,C,C,15NOV16,2019-11-01
1st,15JUL18,01JAN15,15JUL18,15JUL18,15MAY17,C,15JUL18,15JUL18,2019-12-01
2nd,C,15MAY09,C,C,22JUN15,C,C,C,2019-12-01
3rd,C,01JAN09,C,01MAR18,01NOV15,C,C,C,2019-12-01
Other Workers,C,01JAN09,C,01MAR18,01MAR08,C,C,C,2019-12-01
4th,C,C,22JUL17,C,C,C,01JUL16,C,2019-12-01
Certain Religious Workers,U,U,U,U,U,C,U,U,2019-12-01
5th Non-Regional Center (C5 and T5),C,01JAN18,C,C,15NOV14,C,C,01DEC16,2019-12-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,2019-12-01
1st,01OCT18,01JAN15,01OCT18,01OCT18,22MAY17,C,01OCT18,01OCT18,2020-01-01
2nd,C,18MAY09,C,C,01JUL15,C,C,C,2020-01-01
3rd,C,01JAN09,C,15MAR18,01DEC15,C,C,C,2020-01-01
Other Workers,C,01JAN09,C,15MAR18,01APR08,C,C,C,2020-01-01
4th,C,C,08AUG17,C,C,C,01JUL16,C,2020-01-01
Certain Religious Workers,U,U,U,U,U,C,U,U,2020-01-01
5th Non-Regional Center (C5 and T5),C,01MAY18,C,C,22NOV14,C,C,08DEC16,2020-01-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,2020-01-01
1st,01DEC18,01JAN15,01DEC18,01DEC18,22MAY17,C,01DEC18,01DEC18,2020-02-01
2nd,C,19MAY09,C,C,15JUL15,C,C,C,2020-02-01
3rd,C,08JAN09,C,01JUN18,01JAN16,C,C,C,2020-02-01
Other Workers,C,08JAN09,C,01JUN18,01MAY08,C,C,C,2020-02-01
4th,C,C,01SEP17,C,C,C,01JUL16,C,2020-02-01
Certain Religious Workers,C,C,01SEP17,C,C,C,01JUL16,C,2020-02-01
5th Non-Regional Center (C5 and T5),C,01SEP18,C,C,01DEC14,C,C,15DEC16,2020-02-01
5th Regional Center (I5 and R5),C,01SEP18,C,C,01DEC14,C,C,15DEC16,2020-02-01
1st,01MAR19,01MAR15,01MAR19,01MAR19,01JUN17,C,01MAR19,01MAR19,2020-03-01
2nd,C,22MAY09,C,C,15AUG15,C,C,C,2020-03-01
3rd,01JAN17,15JAN09,01JAN17,01JAN17,22MAR16,C,01JAN17,01JAN17,2020-03-01
Other Workers,01JAN17,15JAN09,01JAN17,01JAN17,01JUN08,C,01JAN17,01JAN17,2020-03-01
4th,C,C,15NOV17,C,C,C,15JUL16,C,2020-03-01
Certain Religious Workers,C,C,15NOV17,C,C,C,15JUL16,C,2020-03-01
5th Non-Regional Center (C5 and T5),C,22OCT18,C,C,15MAY15,C,C,15JAN17,2020-03-01
5th Regional Center (I5 and R5),C,22OCT18,C,C,15MAY15,C,C,15JAN17,2020-03-01
1st,01JUN19,01MAY15,01JUN19,01JUN19,08JUN17,C,01JUN19,01JUN19,2020-04-01
2nd,C,25MAY09,C,C,01SEP15,C,C,C,2020-04-01
3rd,01JAN17,22JAN09,01JAN17,01JAN17,15APR16,C,01JAN17,01JAN17,2020-04-01
Other Workers,01JAN17,22JAN09,01JAN17,01JAN17,01JUL08,C,01JAN17,01JAN17,2020-04-01
4th,C,C,22JAN18,C,C,C,15JUL16,C,2020-04-01
Certain Religious Workers,C,C,22JAN18,C,C,C,15JUL16,C,2020-04-01
5th Non-Regional Center (C5 and T5),C,01JAN19,C,C,15MAY15,C,C,08FEB17,2020-04-01
5th Regional Center (I5 and R5),C,01JAN19,C,C,15MAY15,C,C,08FEB17,2020-04-01
1st,C,01AUG15,C,C,15JUL17,C,C,C,2020-05-01
2nd,C,02JUN09,C,C,01OCT15,C,C,C,2020-05-01
3rd,01JAN17,01MAR09,01JAN17,01JAN17,15MAY16,C,01JAN17,01JAN17,2020-05-01
Other Workers,01JAN17,01MAR09,01JAN17,01JAN17,15JUL08,C,01JAN17,01JAN17,2020-05-01
4th,C,C,01MAY18,C,C,C,15AUG16,C,2020-05-01
Certain Religious Workers,C,C,01MAY18,C,C,C,15AUG16,C,2020-05-01
5th Non-Regional Center (C5 and T5),C,01OCT19,C,C,01JUL15,C,C,01APR17,2020-05-01
5th Regional Center (I5 and R5),C,01OCT19,C,C,01JUL15,C,C,01APR17,2020-05-01
1st,C,08JUN16,C,C,15AUG17,C,C,C,2020-06-01
2nd,C,12JUN09,C,C,01NOV15,C,C,C,2020-06-01
3rd,08NOV17,01APR09,08NOV17,08NOV17,15JUN16,C,08NOV17,08NOV17,2020-06-01
Other Workers,08NOV17,01APR09,08NOV17,08NOV17,15JUL08,C,08NOV17,08NOV17,2020-06-01
4th,C,C,08JUN18,C,C,C,15DEC16,C,2020-06-01
Certain Religious Workers,C,C,08JUN18,C,C,C,15DEC16,C,2020-06-01
5th Non-Regional Center (C5 and T5),C,01JAN20,C,C,15JUL15,C,C,22APR17,2020-06-01
5th Regional Center (I5 and R5),C,01JAN20,C,C,15JUL15,C,C,22APR17,2020-06-01
1st,C,08MAY17,C,C,22AUG17,C,C,C,2020-07-01
2nd,C,08JUL09,C,C,08NOV15,C,C,C,2020-07-01
3rd,15APR18,01JUN09,15APR18,15APR18,22JUN16,C,15APR18,15APR18,2020-07-01
Other Workers,15APR18,01JUN09,15APR18,15APR18,22JUL08,C,15APR18,15APR18,2020-07-01
4th,C,C,15JUN18,C,C,C,01FEB17,C,2020-07-01
Certain Religious Workers,C,C,15JUN18,C,C,C,01FEB17,C,2020-07-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22JUL15,C,C,15MAY17,2020-07-01
5th Regional Center (I5 and R5),C,C,C,C,22JUL15,C,C,15MAY17,2020-07-01
1st,C,08FEB18,C,C,08FEB18,C,C,C,2020-08-01
2nd,C,08JUL09,C,C,15JAN16,C,C,C,2020-08-01
3rd,01APR19,01OCT09,01APR19,01APR19,15FEB17,C,01APR19,01APR19,2020-08-01
Other Workers,01APR19,01OCT09,01APR19,01APR19,01AUG08,C,01APR19,01APR19,2020-08-01
4th,C,C,15JUN18,C,C,C,01APR17,C,2020-08-01
Certain Religious Workers,C,C,15JUN18,C,C,C,01APR17,C,2020-08-01
5th Non-Regional Center (C5 and T5),C,C,C,C,08AUG15,C,C,22JUL17,2020-08-01
5th Regional Center (I5 and R5),C,C,C,C,08AUG15,C,C,22JUL17,2020-08-01
1st,C,01MAR18,C,C,01MAR18,C,C,C,2020-09-01
2nd,C,08JUL09,C,C,15JAN16,C,C,C,2020-09-01
3rd,01APR19,01OCT09,01APR19,01APR19,15FEB17,C,01APR19,01APR19,2020-09-01
Other Workers,01APR19,01OCT09,01APR19,01APR19,01AUG08,C,01APR19,01APR19,2020-09-01
4th,C,C,15JUN18,C,C,C,01APR17,C,2020-09-01
Certain Religious Workers,C,C,15JUN18,C,C,C,01APR17,C,2020-09-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15AUG15,C,C,01AUG17,2020-09-01
5th Regional Center (I5 and R5),C,C,C,C,15AUG15,C,C,01AUG17,2020-09-01
1st,C,01JUN18,C,C,01JUN18,C,C,C,2020-10-01
2nd,C,01SEP09,C,C,01MAR16,C,C,C,2020-10-01
3rd,C,15JAN10,C,C,01JUL17,C,C,C,2020-10-01
Other Workers,C,15JAN10,C,C,01DEC08,C,C,C,2020-10-01
4th,C,C,01SEP18,C,C,C,01AUG17,C,2020-10-01
Certain Religious Workers,U,U,U,U,U,C,U,U,2020-10-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15AUG15,C,C,01AUG17,2020-10-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,2020-10-01
1st,C,01DEC18,C,C,01DEC18,C,C,C,2020-11-01
2nd,C,22SEP09,C,C,22APR16,C,C,C,2020-11-01
3rd,C,01MAR10,C,C,01OCT17,C,C,C,2020-11-01
Other Workers,C,01MAR10,C,C,01JAN09,C,C,C,2020-11-01
4th,C,C,15OCT18,C,C,C,01NOV17,C,2020-11-01
Certain Religious Workers,C,C,15OCT18,C,C,C,01NOV17,C,2020-11-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15AUG15,C,C,15AUG17,2020-11-01
5th Regional Center (I5 and R5),C,C,C,C,15AUG15,C,C,15AUG17,2020-11-01
1st,C,01APR19,C,C,01APR19,C,C,C,2020-12-01
2nd,C,01OCT09,C,C,01MAY16,C,C,C,2020-12-01
3rd,C,15MAR10,C,C,01NOV17,C,C,C,2020-12-01
Other Workers,C,15MAR10,C,C,15FEB09,C,C,C,2020-12-01
4th,C,C,22NOV18,C,C,C,01FEB18,C,2020-12-01
Certain Religious Workers,C,C,22NOV18,C,C,C,01FEB18,C,2020-12-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15AUG15,C,C,01SEP17,2020-12-01
5th Regional Center (I5 and R5),C,C,C,C,15AUG15,C,C,01SEP17,2020-12-01
1st,C,01SEP19,C,C,01SEP19,C,C,C,2021-01-01
2nd,C,08OCT09,C,C,01JUN16,C,C,C,2021-01-01
3rd,C,22MAR10,C,C,15DEC17,C,C,C,2021-01-01
Other Workers,C,22MAR10,C,C,01MAR09,C,C,C,2021-01-01
4th,C,C,01DEC18,C,C,C,01MAR18,C,2021-01-01
Certain Religious Workers,U,U,U,U,U,C,U,U,2021-01-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15AUG15,C,C,15SEP17,2021-01-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,2021-01-01
1st,C,01JAN20,C,C,01JAN20,C,C,C,2021-02-01
2nd,C,12OCT09,C,C,15JUN16,C,C,C,2021-02-01
3rd,C,01APR10,C,C,01JAN18,C,C,C,2021-02-01
Other Workers,C,01APR10,C,C,01APR09,C,C,C,2021-02-01
4th,C,C,15DEC18,C,C,C,15APR18,C,2021-02-01
Certain Religious Workers,C,C,15DEC18,C,C,C,15APR18,C,2021-02-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15AUG15,C,C,01OCT17,2021-02-01
5th Regional Center (I5 and R5),C,C,C,C,15AUG15,C,C,01OCT17,2021-02-01
1st,C,01AUG20,C,C,01AUG20,C,C,C,2021-03-01
2nd,C,15JAN10,C,C,15JUL16,C,C,C,2021-03-01
3rd,C,01JUL10,C,C,08FEB18,C,C,C,2021-03-01
Other Workers,C,01JUL10,C,C,01MAY09,C,C,C,2021-03-01
4th,C,C,01JAN19,C,C,C,01JUN18,C,2021-03-01
Certain Religious Workers,C,C,01JAN19,C,C,C,01JUN18,C,2021-03-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15AUG15,C,C,22OCT17,2021-03-01
5th Regional Center (I5 and R5),C,C,C,C,15AUG15,C,C,22OCT17,2021-03-01
1st,C,C,C,C,C,C,C,C,2021-04-01
2nd,C,01MAY10,C,C,01SEP16,C,C,C,2021-04-01
3rd,C,01SEP10,C,C,15MAR18,C,C,C,2021-04-01
Other Workers,C,01SEP10,C,C,01JUN09,C,C,C,2021-04-01
4th,C,C,01FEB19,C,C,C,01AUG18,C,2021-04-01
Certain Religious Workers,C,C,01FEB19,C,C,C,01AUG18,C,2021-04-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15AUG15,C,C,15DEC17,2021-04-01
5th Regional Center (I5 and R5),C,C,C,C,15AUG15,C,C,15DEC17,2021-04-01
1st,C,C,C,C,C,C,C,C,2021-05-01
2nd,C,01AUG10,C,C,01DEC16,C,C,C,2021-05-01
3rd,C,01FEB11,C,C,15MAY18,C,C,C,2021-05-01
Other Workers,C,01FEB11,C,C,01AUG09,C,C,C,2021-05-01
4th,C,C,15MAR19,C,C,C,01SEP18,C,2021-05-01
Certain Religious Workers,C,C,15MAR19,C,C,C,01SEP18,C,2021-05-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15AUG15,C,C,15FEB18,2021-05-01
5th Regional Center (I5 and R5),C,C,C,C,15AUG15,C,C,15FEB18,2021-05-01
1st,C,C,C,C,C,C,C,C,2021-06-01
2nd,C,01DEC10,C,C,01MAY17,C,C,C,2021-06-01
3rd,C,01NOV11,C,C,01SEP18,C,C,C,2021-06-01
Other Workers,C,01NOV11,C,C,01OCT09,C,C,C,2021-06-01
4th,C,C,01NOV19,C,C,C,01NOV18,C,2021-06-01
Certain Religious Workers,C,C,01NOV19,C,C,C,01NOV18,C,2021-06-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15SEP15,C,C,15APR18,2021-06-01
5th Regional Center (I5 and R5),C,C,C,C,15SEP15,C,C,15APR18,2021-06-01
1st,C,C,C,C,C,C,C,C,2021-07-01
2nd,C,01JUN11,C,C,01DEC17,C,C,C,2021-07-01
3rd,C,01JAN13,C,C,01JAN19,C,C,C,2021-07-01
Other Workers,C,01JAN13,C,C,01DEC09,C,C,C,2021-07-01
4th,C,C,01FEB20,C,C,C,01DEC18,C,2021-07-01
Certain Religious Workers,C,C,01FEB20,C,C,C,01DEC18,C,2021-07-01
5th Non-Regional Center (C5 and T5),C,C,C,C,08NOV15,C,C,01APR20,2021-07-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,2021-07-01
1st,C,C,C,C,C,C,C,C,2021-08-01
2nd,C,01JUN11,C,C,01APR18,C,C,C,2021-08-01
3rd,C,01JUL13,C,C,08JAN19,C,C,C,2021-08-01
Other Workers,C,01JUL13,C,C,01JAN10,C,C,C,2021-08-01
4th,C,C,01FEB20,C,C,C,01JAN19,C,2021-08-01
Certain Religious Workers,C,C,01FEB20,C,C,C,01JAN19,C,2021-08-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15NOV15,C,C,C,2021-08-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,2021-08-01
1st,C,C,C,C,C,C,C,C,2021-09-01
2nd,C,01SEP11,C,C,01JUL18,C,C,C,2021-09-01
3rd,C,01JAN14,C,C,08JAN19,C,C,C,2021-09-01
Other Workers,C,01JAN14,C,C,01FEB10,C,C,C,2021-09-01
4th,C,C,01MAR20,C,C,C,15MAR19,C,2021-09-01
Certain Religious Workers,C,C,01MAR20,C,C,C,15MAR19,C,2021-09-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22NOV15,C,C,C,2021-09-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,2021-09-01
1st,C,C,C,C,C,C,C,C,2021-10-01
2nd,C,01SEP11,C,C,01JUL18,C,C,C,2021-10-01
3rd,C,01JAN14,C,C,08JAN19,C,C,C,2021-10-01
Other Workers,C,01JAN14,C,C,01FEB10,C,C,C,2021-10-01
4th,C,C,01MAR20,C,C,C,15MAR19,C,2021-10-01
Certain Religious Workers,U,U,U,U,U,C,U,C,2021-10-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22NOV15,C,C,C,2021-10-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,2021-10-01
1st,C,C,C,C,C,C,C,C,2021-11-01
2nd,C,01DEC11,C,C,15NOV18,C,C,C,2021-11-01
3rd,C,15JAN12,C,C,22MAR18,C,C,C,2021-11-01
Other Workers,C,15JAN12,C,C,01MAR10,C,C,C,2021-11-01
