Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time,category
3rd,2/15/16,9/22/04,2/15/16,11/1/08,1/1/10,C,2/15/16,C,6/1/16,3rd
Other Workers,2/15/16,9/22/04,2/15/16,11/1/08,4/22/07,C,2/15/16,C,6/1/16,Other Workers
4th,C,C,C,C,C,C,1/1/10,C,6/1/16,4th
Certain Religious Workers,C,C,C,C,C,C,1/1/10,C,6/1/16,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,2/15/14,C,C,C,6/1/16,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,2/15/14,C,C,C,6/1/16,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/16,1st
2nd,C,11/1/04,C,C,1/1/10,C,C,C,7/1/16,2nd
3rd,3/1/16,10/22/04,3/1/16,2/15/09,1/1/10,C,3/1/16,C,7/1/16,3rd
Other Workers,3/1/16,10/22/04,3/1/16,2/15/09,1/1/04,C,3/1/16,C,7/1/16,Other Workers
4th,C,C,1/1/10,C,C,C,1/1/10,C,7/1/16,4th
Certain Religious Workers,C,C,1/1/10,C,C,C,1/1/10,C,7/1/16,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,2/15/14,C,C,C,7/1/16,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,2/15/14,C,C,C,7/1/16,5th Targeted Employment Areas
1st,C,1/1/10,C,C,1/1/10,C,C,C,8/1/16,1st
2nd,2/1/14,11/15/04,2/1/14,2/1/14,1/1/10,C,2/1/14,C,8/1/16,2nd
3rd,3/15/16,11/8/04,3/15/16,5/15/09,1/1/10,C,3/15/16,C,8/1/16,3rd
Other Workers,3/15/16,11/8/04,3/15/16,5/15/09,1/1/04,C,3/15/16,C,8/1/16,Other Workers
4th,C,1/1/10,1/1/10,C,C,C,1/1/10,C,8/1/16,4th
Certain Religious Workers,C,1/1/10,1/1/10,C,C,C,1/1/10,C,8/1/16,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,2/15/14,C,C,C,8/1/16,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,2/15/14,C,C,C,8/1/16,5th Targeted Employment Areas
1st,C,1/1/10,C,C,1/1/10,C,C,C,9/1/16,1st
2nd,2/1/14,2/22/05,2/1/14,2/1/14,1/1/10,C,2/1/14,C,9/1/16,2nd
3rd,5/1/16,2/15/05,5/1/16,7/1/10,1/1/10,C,5/1/16,C,9/1/16,3rd
Other Workers,5/1/16,2/15/05,5/1/16,7/1/10,1/1/04,C,5/1/16,C,9/1/16,Other Workers
4th,C,1/1/10,1/1/10,C,C,C,1/1/10,C,9/1/16,4th
Certain Religious Workers,C,1/1/10,1/1/10,C,C,C,1/1/10,C,9/1/16,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,2/15/14,C,C,C,9/1/16,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,2/15/14,C,C,C,9/1/16,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/16,1st
2nd,C,1/15/07,C,C,2/15/12,C,C,C,10/1/16,2nd
3rd,6/1/16,3/1/05,6/1/16,12/1/10,1/22/13,C,6/1/16,C,10/1/16,3rd
Other Workers,6/1/16,3/1/05,6/1/16,12/1/10,1/1/05,C,6/1/16,C,10/1/16,Other Workers
4th,C,C,C,C,C,C,6/15/15,C,10/1/16,4th
Certain Religious Workers,U,U,U,U,U,C,U,C,10/1/16,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,2/22/14,C,C,C,10/1/16,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,10/1/16,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/16,1st
2nd,C,11/1/07,C,C,7/15/12,C,C,C,11/1/16,2nd
3rd,7/1/16,3/8/05,7/1/16,4/1/11,4/15/13,C,7/1/16,C,11/1/16,3rd
Other Workers,7/1/16,3/8/05,7/1/16,4/1/11,9/1/05,C,7/1/16,C,11/1/16,Other Workers
4th,C,C,C,C,C,C,7/15/15,C,11/1/16,4th
Certain Religious Workers,C,C,C,C,C,C,7/15/15,C,11/1/16,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,3/8/14,C,C,C,11/1/16,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,3/8/14,C,C,C,11/1/16,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/16,1st
2nd,C,2/1/08,C,C,9/22/12,C,C,C,12/1/16,2nd
3rd,7/1/16,3/15/05,7/1/16,6/1/11,7/1/13,C,7/1/16,C,12/1/16,3rd
Other Workers,7/1/16,3/15/05,7/1/16,6/1/11,11/1/05,C,7/1/16,C,12/1/16,Other Workers
4th,C,C,7/15/15,C,C,C,7/15/15,C,12/1/16,4th
Certain Religious Workers,C,C,7/15/15,C,C,C,7/15/15,C,12/1/16,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,3/22/14,C,C,C,12/1/16,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,3/22/14,C,C,C,12/1/16,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/17,1st
2nd,C,4/15/08,C,C,10/15/12,C,C,C,1/1/17,2nd
3rd,8/1/16,3/15/05,8/1/16,7/22/11,9/8/13,C,8/1/16,C,1/1/17,3rd
Other Workers,8/1/16,3/15/05,8/1/16,7/22/11,12/1/05,C,8/1/16,C,1/1/17,Other Workers
4th,C,C,7/15/15,C,C,C,7/15/15,C,1/1/17,4th
Certain Religious Workers,C,C,7/15/15,C,C,C,7/15/15,C,1/1/17,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,4/8/14,C,C,C,1/1/17,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,4/8/14,C,C,C,1/1/17,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/17,1st
2nd,C,4/15/08,C,C,11/15/12,C,C,C,2/1/17,2nd
3rd,10/1/16,3/22/05,10/1/16,10/15/11,10/1/13,C,10/1/16,C,2/1/17,3rd
Other Workers,10/1/16,3/22/05,10/1/16,10/15/11,12/1/05,C,10/1/16,C,2/1/17,Other Workers
4th,C,C,7/15/15,C,C,C,7/15/15,C,2/1/17,4th
Certain Religious Workers,C,C,7/15/15,C,C,C,7/15/15,C,2/1/17,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,4/15/14,C,C,C,2/1/17,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,4/15/14,C,C,C,2/1/17,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/17,1st
2nd,C,6/1/08,C,C,12/15/12,C,C,C,3/1/17,2nd
3rd,12/1/16,3/22/05,12/1/16,3/15/12,3/15/14,C,12/1/16,C,3/1/17,3rd
Other Workers,12/1/16,3/22/05,12/1/16,3/15/12,2/1/06,C,12/1/16,C,3/1/17,Other Workers
4th,C,C,7/15/15,C,C,C,7/15/15,C,3/1/17,4th
Certain Religious Workers,C,C,7/15/15,C,C,C,7/15/15,C,3/1/17,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,5/1/14,C,C,C,3/1/17,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,5/1/14,C,C,C,3/1/17,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/17,1st
2nd,C,6/22/08,C,C,1/15/13,C,C,C,4/1/17,2nd
3rd,2/15/17,3/24/05,2/15/17,9/15/12,8/15/14,C,2/15/17,C,4/1/17,3rd
Other Workers,2/15/17,3/24/05,2/15/17,9/15/12,3/1/06,C,2/15/17,C,4/1/17,Other Workers
4th,C,C,7/15/15,C,C,C,7/15/15,C,4/1/17,4th
Certain Religious Workers,C,C,7/15/15,C,C,C,7/15/15,C,4/1/17,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,5/22/14,C,C,C,4/1/17,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,5/22/14,C,C,C,4/1/17,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/17,1st
2nd,C,6/22/08,C,C,2/8/13,C,C,C,5/1/17,2nd
3rd,3/15/17,3/25/05,3/15/17,1/1/13,10/1/14,C,3/15/17,C,5/1/17,3rd
Other Workers,3/15/17,3/25/05,3/15/17,1/1/13,3/8/06,C,3/15/17,C,5/1/17,Other Workers
4th,C,C,7/15/15,C,C,C,7/15/15,C,5/1/17,4th
Certain Religious Workers,U,U,U,U,U,C,U,C,5/1/17,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,6/1/14,C,C,C,5/1/17,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,5/1/17,5th Targeted Employment Areas
1st,C,1/1/12,C,C,1/1/12,C,C,C,6/1/17,1st
2nd,C,7/1/08,C,C,3/1/13,C,C,C,6/1/17,2nd
3rd,4/15/17,5/15/05,4/15/17,5/1/13,10/1/14,C,4/15/17,C,6/1/17,3rd
Other Workers,4/15/17,5/15/05,4/15/17,5/1/13,7/15/06,C,4/15/17,C,6/1/17,Other Workers
4th,C,C,7/15/15,C,C,C,7/15/15,C,6/1/17,4th
Certain Religious Workers,C,C,7/15/15,C,C,C,7/15/15,C,6/1/17,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,6/8/14,C,C,C,6/1/17,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,6/8/14,C,C,C,6/1/17,5th Targeted Employment Areas
1st,C,1/1/12,C,C,1/1/12,C,C,C,7/1/17,1st
2nd,C,7/22/08,C,C,3/22/13,C,C,C,7/1/17,2nd
3rd,6/8/17,2/15/06,6/8/17,5/15/14,1/1/12,C,6/8/17,C,7/1/17,3rd
Other Workers,6/8/17,2/15/06,6/8/17,5/15/14,7/15/06,C,6/8/17,C,7/1/17,Other Workers
4th,C,8/15/15,8/15/15,C,C,C,8/15/15,C,7/1/17,4th
Certain Religious Workers,C,8/15/15,8/15/15,C,C,C,8/15/15,C,7/1/17,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,6/8/14,C,C,C,7/1/17,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,6/8/14,C,C,C,7/1/17,5th Targeted Employment Areas
1st,C,1/1/12,C,C,1/1/12,C,C,C,8/1/17,1st
2nd,4/1/15,7/22/08,4/1/15,4/1/15,4/22/13,C,4/1/15,C,8/1/17,2nd
3rd,C,7/15/06,C,6/1/15,1/1/12,C,C,C,8/1/17,3rd
Other Workers,C,7/15/06,C,6/1/15,1/1/04,C,C,C,8/1/17,Other Workers
4th,C,9/15/15,9/15/15,C,C,C,9/15/15,C,8/1/17,4th
Certain Religious Workers,C,9/15/15,9/15/15,C,C,C,9/15/15,C,8/1/17,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,6/15/14,C,C,C,8/1/17,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,6/15/14,C,C,C,8/1/17,5th Targeted Employment Areas
1st,C,1/1/12,C,C,1/1/12,C,C,C,9/1/17,1st
2nd,1/1/16,8/22/08,1/1/16,1/1/16,5/15/13,C,1/1/16,C,9/1/17,2nd
3rd,C,10/15/06,C,11/1/15,1/1/12,C,C,C,9/1/17,3rd
Other Workers,C,10/15/06,C,11/1/15,1/1/04,C,C,C,9/1/17,Other Workers
4th,C,10/22/15,10/22/15,C,C,C,10/22/15,C,9/1/17,4th
Certain Religious Workers,C,10/22/15,10/22/15,C,C,C,10/22/15,C,9/1/17,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,6/15/14,C,C,C,9/1/17,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,6/15/14,C,C,C,9/1/17,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/17,1st
2nd,C,9/15/08,C,C,5/22/13,C,C,C,10/1/17,2nd
3rd,C,10/15/06,C,12/1/15,1/1/14,C,C,C,10/1/17,3rd
Other Workers,C,10/15/06,C,12/1/15,1/1/06,C,C,C,10/1/17,Other Workers
4th,C,C,3/1/16,C,C,C,11/1/15,C,10/1/17,4th
Certain Religious Workers,C,C,3/1/16,C,C,C,11/1/15,C,10/1/17,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,6/22/14,C,C,C,10/1/17,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,6/22/14,C,C,C,10/1/17,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/17,1st
2nd,C,10/8/08,C,C,6/15/13,C,C,C,11/1/17,2nd
3rd,C,10/15/06,C,1/15/16,2/1/14,C,C,C,11/1/17,3rd
Other Workers,C,10/15/06,C,1/15/16,4/1/06,C,C,C,11/1/17,Other Workers
4th,C,C,4/1/16,C,C,C,11/1/15,C,11/1/17,4th
Certain Religious Workers,C,C,4/1/16,C,C,C,11/1/15,C,11/1/17,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,7/1/14,C,C,C,11/1/17,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,7/1/14,C,C,C,11/1/17,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/17,1st
2nd,C,11/1/08,C,C,7/1/13,C,C,C,12/1/17,2nd
3rd,C,10/15/06,C,1/15/16,3/8/14,C,C,C,12/1/17,3rd
Other Workers,C,10/15/06,C,1/15/16,7/1/06,C,C,C,12/1/17,Other Workers
4th,C,C,4/22/16,C,C,C,11/8/15,C,12/1/17,4th
Certain Religious Workers,C,C,4/22/16,C,C,C,11/8/15,C,12/1/17,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,7/15/14,C,C,C,12/1/17,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,7/15/14,C,C,C,12/1/17,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/18,1st
2nd,C,11/22/08,C,C,8/8/13,C,C,C,1/1/18,2nd
3rd,C,11/1/06,C,2/15/16,4/15/14,C,C,C,1/1/18,3rd
Other Workers,C,11/1/06,C,2/15/16,12/22/06,C,C,C,1/1/18,Other Workers
4th,C,C,6/1/16,C,C,C,12/1/15,C,1/1/18,4th
Certain Religious Workers,U,U,U,U,U,C,U,C,1/1/18,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,7/22/14,C,C,C,1/1/18,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,1/1/18,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/18,1st
2nd,C,12/8/08,C,C,10/1/13,C,C,C,2/1/18,2nd
3rd,C,12/1/06,C,3/1/16,9/15/14,C,C,C,2/1/18,3rd
Other Workers,C,12/1/06,C,3/1/16,2/1/07,C,C,C,2/1/18,Other Workers
4th,C,C,6/22/16,C,C,C,12/1/15,C,2/1/18,4th
Certain Religious Workers,U,U,U,U,U,C,U,C,2/1/18,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,7/22/14,C,C,C,2/1/18,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,2/1/18,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/18,1st
2nd,C,12/15/08,C,C,12/8/13,C,C,C,3/1/18,2nd
3rd,C,1/1/07,C,5/1/16,11/15/14,C,C,C,3/1/18,3rd
Other Workers,C,1/1/07,C,5/1/16,3/1/07,C,C,C,3/1/18,Other Workers
4th,C,C,7/1/16,C,C,C,12/1/15,C,3/1/18,4th
Certain Religious Workers,C,C,7/1/16,C,C,C,12/1/15,C,3/1/18,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,7/22/14,C,C,C,3/1/18,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,7/22/14,C,C,C,3/1/18,5th Targeted Employment Areas
1st,C,1/1/12,C,C,1/1/12,C,C,C,4/1/18,1st
2nd,C,12/22/08,C,C,8/1/14,C,C,C,4/1/18,2nd
3rd,C,2/1/08,C,1/1/17,6/1/15,C,C,C,4/1/18,3rd
Other Workers,C,2/1/08,C,1/1/17,4/1/07,C,C,C,4/1/18,Other Workers
4th,C,C,8/8/16,C,C,C,12/15/15,C,4/1/18,4th
Certain Religious Workers,U,U,U,U,U,C,U,C,4/1/18,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,7/22/14,C,C,C,4/1/18,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,4/1/18,5th Targeted Employment Areas
1st,C,1/1/12,C,C,1/1/12,C,C,C,5/1/18,1st
2nd,C,12/22/08,C,C,9/1/14,C,C,C,5/1/18,2nd
3rd,C,5/1/08,C,1/1/17,6/1/15,C,C,C,5/1/18,3rd
Other Workers,C,5/1/08,C,1/1/17,5/1/07,C,C,C,5/1/18,Other Workers
4th,C,C,10/22/16,C,C,C,12/15/15,C,5/1/18,4th
Certain Religious Workers,C,C,10/22/16,C,C,C,12/15/15,C,5/1/18,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,7/22/14,C,C,7/22/14,5/1/18,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,7/22/14,C,C,7/22/14,5/1/18,5th Targeted Employment Areas
1st,C,1/1/12,C,C,1/1/12,C,C,C,6/1/18,1st
2nd,C,12/26/08,C,C,9/1/14,C,C,C,6/1/18,2nd
3rd,C,5/1/08,C,1/1/17,6/1/15,C,C,C,6/1/18,3rd
Other Workers,C,5/1/08,C,1/1/17,5/1/07,C,C,C,6/1/18,Other Workers
4th,C,C,10/22/16,C,C,C,12/15/15,C,6/1/18,4th
Certain Religious Workers,C,C,10/22/16,C,C,C,12/15/15,C,6/1/18,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/1/14,C,C,8/1/14,6/1/18,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,8/1/14,C,C,8/1/14,6/1/18,5th Targeted Employment Areas
1st,C,1/1/12,C,C,1/1/12,C,C,C,7/1/18,1st
2nd,C,3/15/09,C,C,1/1/15,C,C,C,7/1/18,2nd
3rd,C,11/1/08,C,1/1/17,1/1/13,C,C,C,7/1/18,3rd
Other Workers,C,11/1/08,C,1/1/17,5/1/07,C,C,C,7/1/18,Other Workers
4th,C,C,2/8/16,C,C,C,2/8/16,C,7/1/18,4th
Certain Religious Workers,C,C,2/8/16,C,C,C,2/8/16,C,7/1/18,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/1/14,C,C,8/1/14,7/1/18,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,8/1/14,C,C,8/1/14,7/1/18,5th Targeted Employment Areas
1st,5/1/16,1/1/12,5/1/16,5/1/16,1/1/12,C,5/1/16,5/1/16,8/1/18,1st
2nd,C,3/15/09,C,C,3/1/15,C,C,C,8/1/18,2nd
3rd,C,1/1/09,C,6/1/17,7/1/14,C,C,C,8/1/18,3rd
Other Workers,C,1/1/09,C,6/1/17,5/1/07,C,C,C,8/1/18,Other Workers
4th,C,2/8/16,2/8/16,C,C,C,2/8/16,C,8/1/18,4th
Certain Religious Workers,C,2/8/16,2/8/16,C,C,C,2/8/16,C,8/1/18,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/1/14,C,C,8/1/14,8/1/18,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,8/1/14,C,C,8/1/14,8/1/18,5th Targeted Employment Areas
1st,6/1/16,1/1/12,6/1/16,6/1/16,1/1/12,C,6/1/16,6/1/16,9/1/18,1st
2nd,1/1/13,1/1/07,1/1/13,1/1/13,1/1/13,C,1/1/13,1/1/13,9/1/18,2nd
3rd,11/1/16,1/1/03,11/1/16,11/1/16,11/1/14,C,11/1/16,11/1/16,9/1/18,3rd
Other Workers,11/1/16,1/1/03,11/1/16,11/1/16,5/1/07,C,11/1/16,11/1/16,9/1/18,Other Workers
4th,C,2/15/16,2/15/16,C,C,C,2/15/16,C,9/1/18,4th
Certain Religious Workers,C,2/15/16,2/15/16,C,C,C,2/15/16,C,9/1/18,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/8/14,C,C,8/8/14,9/1/18,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,8/8/14,C,C,8/8/14,9/1/18,5th Targeted Employment Areas
1st,4/1/17,6/1/16,4/1/17,4/1/17,6/1/16,C,4/1/17,4/1/17,10/1/18,1st
2nd,C,3/26/09,C,C,4/1/15,C,C,C,10/1/18,2nd
3rd,C,1/1/09,C,6/1/17,6/1/15,C,C,C,10/1/18,3rd
Other Workers,C,1/1/09,C,6/1/17,5/1/07,C,C,C,10/1/18,Other Workers
4th,C,C,10/22/16,C,C,C,2/15/16,C,10/1/18,4th
Certain Religious Workers,U,U,U,U,U,C,U,U,10/1/18,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/15/14,C,C,1/1/16,10/1/18,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,10/1/18,5th Targeted Employment Areas
1st,4/1/17,6/1/16,4/1/17,4/1/17,6/1/16,C,4/1/17,4/1/17,11/1/18,1st
2nd,C,3/26/09,C,C,5/15/15,C,C,C,11/1/18,2nd
3rd,C,1/1/09,C,6/8/17,6/1/15,C,C,C,11/1/18,3rd
Other Workers,C,1/1/09,C,6/8/17,5/1/07,C,C,C,11/1/18,Other Workers
4th,C,C,11/22/16,C,C,C,2/15/16,C,11/1/18,4th
Certain Religious Workers,C,C,11/22/16,C,C,C,2/15/16,C,11/1/18,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/15/14,C,C,2/1/16,11/1/18,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,8/15/14,C,C,2/1/16,11/1/18,5th Targeted Employment Areas
1st,7/1/17,9/1/16,7/1/17,7/1/17,9/1/16,C,7/1/17,7/1/17,12/1/18,1st
2nd,C,4/1/09,C,C,7/1/15,C,C,C,12/1/18,2nd
3rd,C,3/1/09,C,6/15/17,6/8/15,C,C,C,12/1/18,3rd
Other Workers,C,3/1/09,C,6/15/17,6/1/07,C,C,C,12/1/18,Other Workers
4th,C,C,1/1/17,C,C,C,2/22/16,C,12/1/18,4th
Certain Religious Workers,C,C,1/1/17,C,C,C,2/22/16,C,12/1/18,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/22/14,C,C,5/1/16,12/1/18,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,8/22/14,C,C,5/1/16,12/1/18,5th Targeted Employment Areas
1st,10/1/17,12/15/16,10/1/17,10/1/17,12/15/16,C,10/1/17,10/1/17,1/1/19,1st
2nd,C,4/1/09,C,C,8/1/15,C,C,C,1/1/19,2nd
3rd,C,3/1/09,C,6/22/17,6/8/15,C,C,C,1/1/19,3rd
Other Workers,C,3/1/09,C,6/22/17,7/1/07,C,C,C,1/1/19,Other Workers
4th,C,C,4/15/17,C,C,C,2/22/16,C,1/1/19,4th
Certain Religious Workers,U,U,U,U,U,C,U,U,1/1/19,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,9/1/14,C,C,6/1/16,1/1/19,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,1/1/19,5th Targeted Employment Areas
1st,12/1/17,2/8/17,12/1/17,12/1/17,2/8/17,C,12/1/17,12/1/17,2/1/19,1st
2nd,C,4/6/09,C,C,10/1/15,C,C,C,2/1/19,2nd
3rd,C,4/22/09,C,8/1/17,7/1/15,C,C,C,2/1/19,3rd
Other Workers,C,4/22/09,C,8/1/17,8/1/07,C,C,C,2/1/19,Other Workers
4th,C,C,9/1/17,C,C,C,3/1/16,C,2/1/19,4th
Certain Religious Workers,U,U,U,U,U,C,U,U,2/1/19,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,9/1/14,C,C,6/15/16,2/1/19,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,2/1/19,5th Targeted Employment Areas
1st,1/1/18,2/22/17,1/1/18,1/1/18,2/22/17,C,1/1/18,1/1/18,3/1/19,1st
2nd,C,4/9/09,C,C,1/1/16,C,C,C,3/1/19,2nd
3rd,C,5/22/09,C,12/1/17,7/8/15,C,C,C,3/1/19,3rd
Other Workers,C,5/22/09,C,12/1/17,8/15/07,C,C,C,3/1/19,Other Workers
4th,C,C,1/1/18,C,C,C,3/1/16,C,3/1/19,4th
Certain Religious Workers,U,U,U,U,U,C,U,U,3/1/19,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,9/8/14,C,C,7/15/16,3/1/19,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,3/1/19,5th Targeted Employment Areas
1st,2/1/18,2/22/17,2/1/18,2/1/18,2/22/17,C,2/1/18,2/1/18,4/1/19,1st
2nd,C,4/12/09,C,C,4/1/16,C,C,C,4/1/19,2nd
3rd,C,6/22/09,C,3/1/18,8/1/15,C,C,C,4/1/19,3rd
Other Workers,C,6/22/09,C,3/1/18,8/22/07,C,C,C,4/1/19,Other Workers
4th,C,C,4/1/18,C,C,C,3/8/16,C,4/1/19,4th
Certain Religious Workers,C,C,4/1/18,C,C,C,3/8/16,C,4/1/19,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,9/15/14,C,C,8/22/16,4/1/19,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,9/15/14,C,C,8/22/16,4/1/19,5th Targeted Employment Areas
1st,3/1/18,2/22/17,3/1/18,3/1/18,2/22/17,C,3/1/18,3/1/18,5/1/19,1st
2nd,C,4/16/09,C,C,5/15/16,C,C,C,5/1/19,2nd
3rd,C,7/1/09,C,6/1/18,8/22/15,C,C,C,5/1/19,3rd
Other Workers,C,7/1/09,C,6/1/18,9/1/07,C,C,C,5/1/19,Other Workers
4th,C,C,8/1/18,C,C,C,3/8/16,C,5/1/19,4th
Certain Religious Workers,C,C,8/1/18,C,C,C,3/8/16,C,5/1/19,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,9/22/14,C,C,9/22/16,5/1/19,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,9/22/14,C,C,9/22/16,5/1/19,5th Targeted Employment Areas
1st,4/22/18,1/1/15,4/22/18,4/22/18,2/22/17,C,4/22/18,4/22/18,6/1/19,1st
2nd,C,4/19/09,C,C,8/1/16,C,C,C,6/1/19,2nd
3rd,C,7/1/09,C,11/1/18,9/15/15,C,C,C,6/1/19,3rd
Other Workers,C,7/1/09,C,11/1/18,9/1/07,C,C,C,6/1/19,Other Workers
4th,C,C,10/1/18,C,C,C,3/22/16,C,6/1/19,4th
Certain Religious Workers,C,C,10/1/18,C,C,C,3/22/16,C,6/1/19,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,10/1/14,C,C,10/1/16,6/1/19,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,10/1/14,C,C,10/1/16,6/1/19,5th Targeted Employment Areas
1st,4/22/18,1/1/15,4/22/18,4/22/18,5/8/17,C,4/22/18,4/22/18,7/1/19,1st
2nd,C,4/24/09,C,C,11/1/16,C,C,C,7/1/19,2nd
3rd,C,7/1/09,C,C,1/1/16,C,C,C,7/1/19,3rd
Other Workers,C,7/1/09,C,C,11/22/07,C,C,C,7/1/19,Other Workers
