Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time,Preference
3rd,2015-08-15,2004-03-08,2015-08-15,2007-01-01,2011-10-15,2015-08-15,2015-08-15,2015-08-15,2015-10-01,E3
Other Workers,2015-08-15,2004-03-08,2015-08-15,2007-01-01,2006-01-01,2015-08-15,2015-08-15,2015-08-15,2015-10-01,E3_U
4th,C,C,C,C,C,C,C,C,2015-10-01,E4
Certain Religious Workers,U,U,U,U,U,U,U,U,2015-10-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2013-10-08,C,C,C,2015-10-01,E5
5th Regional Center (I5 and R5),U,U,U,U,U,U,U,U,2015-10-01,E5
1st,C,C,C,C,C,C,C,C,2015-11-01,E1
2nd,C,2006-08-01,C,C,2012-02-01,C,C,C,2015-11-01,E2
3rd,2015-08-15,2004-04-01,2015-08-15,2007-06-15,2012-01-01,2015-08-15,2015-08-15,2015-08-15,2015-11-01,E3
Other Workers,2015-08-15,2004-04-01,2015-08-15,2007-06-15,2006-04-01,2015-08-15,2015-08-15,2015-08-15,2015-11-01,E3_U
4th,C,C,C,C,C,C,C,C,2015-11-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-11-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2013-11-22,C,C,C,2015-11-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2013-11-22,C,C,C,2015-11-01,E5
1st,C,C,C,C,C,C,C,C,2015-12-01,E1
2nd,C,2007-06-01,C,C,2012-02-01,C,C,C,2015-12-01,E2
3rd,2015-09-01,2004-04-22,2015-09-01,2007-08-01,2012-04-15,2015-09-01,2015-09-01,2015-09-01,2015-12-01,E3
Other Workers,2015-09-01,2004-04-22,2015-09-01,2007-08-01,2006-08-01,2015-09-01,2015-09-01,2015-09-01,2015-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2015-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-12-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2013-12-15,C,C,C,2015-12-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2013-12-15,C,C,C,2015-12-01,E5
1st,C,C,C,C,C,C,C,C,2016-01-01,E1
2nd,C,2008-02-01,C,C,2012-02-01,C,C,C,2016-01-01,E2
3rd,2015-10-01,2004-05-15,2015-10-01,2007-11-01,2012-07-01,2015-10-01,2015-10-01,2015-10-01,2016-01-01,E3
Other Workers,2015-10-01,2004-05-15,2015-10-01,2007-11-01,2006-12-01,2015-10-01,2015-10-01,2015-10-01,2016-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2016-01-01,E4
Certain Religious Workers,U,U,U,U,U,U,U,U,2016-01-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-01-08,C,C,C,2016-01-01,E5
5th Regional Center (I5 and R5),U,U,U,U,U,U,U,U,2016-01-01,E5
1st,C,C,C,C,C,C,C,C,2016-02-01,E1
2nd,C,2008-08-01,C,C,2012-03-01,C,C,C,2016-02-01,E2
3rd,2015-10-01,2004-06-15,2015-10-01,2008-01-08,2012-10-01,2015-10-01,2015-10-01,2015-10-01,2016-02-01,E3
Other Workers,2015-10-01,2004-06-15,2015-10-01,2008-01-08,2006-12-22,2015-10-01,2015-10-01,2015-10-01,2016-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2016-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2016-02-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-01-15,C,C,C,2016-02-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-01-15,C,C,C,2016-02-01,E5
1st,C,C,C,C,C,C,C,C,2016-03-01,E1
2nd,C,2008-10-15,C,C,2012-08-01,C,C,C,2016-03-01,E2
3rd,2016-01-01,2004-07-15,2016-01-01,2008-03-15,2013-06-01,2016-01-01,2016-01-01,2016-01-01,2016-03-01,E3
Other Workers,2016-01-01,2004-07-15,2016-01-01,2008-03-15,2007-02-01,2016-01-01,2016-01-01,2016-01-01,2016-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2016-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2016-03-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-01-22,C,C,C,2016-03-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-01-22,C,C,C,2016-03-01,E5
1st,C,C,C,C,C,C,C,C,2016-04-01,E1
2nd,C,2008-11-08,C,C,2012-09-01,C,C,C,2016-04-01,E2
3rd,2016-02-15,2004-08-08,2016-02-15,2008-05-01,2013-08-15,2016-02-15,2016-02-15,2016-02-15,2016-04-01,E3
Other Workers,2016-02-15,2004-08-08,2016-02-15,2008-05-01,2007-03-01,2016-02-15,2016-02-15,2016-02-15,2016-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2016-04-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2016-04-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-02-01,C,C,C,2016-04-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-02-01,C,C,C,2016-04-01,E5
1st,C,C,C,C,C,C,C,C,2016-05-01,E1
2nd,C,2008-11-22,C,C,2012-09-01,C,C,C,2016-05-01,E2
3rd,2016-02-15,2004-09-01,2016-02-15,2008-08-08,2013-08-15,2016-02-15,2016-02-15,2016-02-15,2016-05-01,E3
Other Workers,2016-02-15,2004-09-01,2016-02-15,2008-08-08,2007-04-22,2016-02-15,2016-02-15,2016-02-15,2016-05-01,E3_U
4th,C,C,C,C,C,C,2010-01-01,C,2016-05-01,E4
Certain Religious Workers,C,C,C,C,C,C,2010-01-01,C,2016-05-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-02-08,C,C,C,2016-05-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-02-08,C,C,C,2016-05-01,E5
1st,C,C,C,C,C,C,C,C,2016-06-01,E1
2nd,C,2004-10-01,C,C,2010-01-01,C,C,C,2016-06-01,E2
3rd,2016-02-15,2004-09-22,2016-02-15,2008-11-01,2010-01-01,2016-02-15,2016-02-15,2016-02-15,2016-06-01,E3
Other Workers,2016-02-15,2004-09-22,2016-02-15,2008-11-01,2007-04-22,2016-02-15,2016-02-15,2016-02-15,2016-06-01,E3_U
4th,C,C,C,C,C,C,2010-01-01,C,2016-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,2010-01-01,C,2016-06-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-02-15,C,C,C,2016-06-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-02-15,C,C,C,2016-06-01,E5
1st,C,C,C,C,C,C,C,C,2016-07-01,E1
2nd,C,2004-11-01,C,C,2010-01-01,C,C,C,2016-07-01,E2
3rd,2016-03-01,2004-10-22,2016-03-01,2009-02-15,2010-01-01,2016-03-01,2016-03-01,2016-03-01,2016-07-01,E3
Other Workers,2016-03-01,2004-10-22,2016-03-01,2009-02-15,2004-01-01,2016-03-01,2016-03-01,2016-03-01,2016-07-01,E3_U
4th,C,C,2010-01-01,C,C,C,2010-01-01,C,2016-07-01,E4
Certain Religious Workers,C,C,2010-01-01,C,C,C,2010-01-01,C,2016-07-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-02-15,C,C,C,2016-07-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-02-15,C,C,C,2016-07-01,E5
1st,C,2010-01-01,C,C,2010-01-01,C,C,C,2016-08-01,E1
2nd,2014-02-01,2004-11-15,2014-02-01,2014-02-01,2010-01-01,2014-02-01,2014-02-01,2014-02-01,2016-08-01,E2
3rd,2016-03-15,2004-11-08,2016-03-15,2009-05-15,2010-01-01,2016-03-15,2016-03-15,2016-03-15,2016-08-01,E3
Other Workers,2016-03-15,2004-11-08,2016-03-15,2009-05-15,2004-01-01,2016-03-15,2016-03-15,2016-03-15,2016-08-01,E3_U
4th,C,2010-01-01,2010-01-01,C,C,C,2010-01-01,C,2016-08-01,E4
Certain Religious Workers,C,2010-01-01,2010-01-01,C,C,C,2010-01-01,C,2016-08-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-02-15,C,C,C,2016-08-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-02-15,C,C,C,2016-08-01,E5
1st,C,2010-01-01,C,C,2010-01-01,C,C,C,2016-09-01,E1
2nd,2014-02-01,2005-02-22,2014-02-01,2014-02-01,2010-01-01,2014-02-01,2014-02-01,2014-02-01,2016-09-01,E2
3rd,2016-05-01,2005-02-15,2016-05-01,2010-07-01,2010-01-01,2016-05-01,2016-05-01,2016-05-01,2016-09-01,E3
Other Workers,2016-05-01,2005-02-15,2016-05-01,2010-07-01,2004-01-01,2016-05-01,2016-05-01,2016-05-01,2016-09-01,E3_U
4th,C,2010-01-01,2010-01-01,C,C,C,2010-01-01,C,2016-09-01,E4
Certain Religious Workers,C,2010-01-01,2010-01-01,C,C,C,2010-01-01,C,2016-09-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-02-15,C,C,C,2016-09-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-02-15,C,C,C,2016-09-01,E5
1st,C,C,C,C,C,C,C,C,2016-10-01,E1
2nd,C,2007-01-15,C,C,2012-02-15,C,C,C,2016-10-01,E2
3rd,2016-06-01,2005-03-01,2016-06-01,2010-12-01,2013-01-22,2016-06-01,2016-06-01,2016-06-01,2016-10-01,E3
Other Workers,2016-06-01,2005-03-01,2016-06-01,2010-12-01,2005-01-01,2016-06-01,2016-06-01,2016-06-01,2016-10-01,E3_U
4th,C,C,C,C,C,C,2015-06-15,C,2016-10-01,E4
Certain Religious Workers,U,U,U,U,U,U,U,U,2016-10-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-02-22,C,C,C,2016-10-01,E5
5th Regional Center (I5 and R5),U,U,U,U,U,U,U,U,2016-10-01,E5
1st,C,C,C,C,C,C,C,C,2016-11-01,E1
2nd,C,2007-11-01,C,C,2012-07-15,C,C,C,2016-11-01,E2
3rd,2016-07-01,2005-03-08,2016-07-01,2011-04-01,2013-04-15,2016-07-01,2016-07-01,2016-07-01,2016-11-01,E3
Other Workers,2016-07-01,2005-03-08,2016-07-01,2011-04-01,2005-09-01,2016-07-01,2016-07-01,2016-07-01,2016-11-01,E3_U
4th,C,C,C,C,C,C,2015-07-15,C,2016-11-01,E4
Certain Religious Workers,C,C,C,C,C,C,2015-07-15,C,2016-11-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-03-08,C,C,C,2016-11-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-03-08,C,C,C,2016-11-01,E5
1st,C,C,C,C,C,C,C,C,2016-12-01,E1
2nd,C,2008-02-01,C,C,2012-09-22,C,C,C,2016-12-01,E2
3rd,2016-07-01,2005-03-15,2016-07-01,2011-06-01,2013-07-01,2016-07-01,2016-07-01,2016-07-01,2016-12-01,E3
Other Workers,2016-07-01,2005-03-15,2016-07-01,2011-06-01,2005-11-01,2016-07-01,2016-07-01,2016-07-01,2016-12-01,E3_U
4th,C,C,2015-07-15,C,C,C,2015-07-15,C,2016-12-01,E4
Certain Religious Workers,C,C,2015-07-15,C,C,C,2015-07-15,C,2016-12-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-03-22,C,C,C,2016-12-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-03-22,C,C,C,2016-12-01,E5
1st,C,C,C,C,C,C,C,C,2017-01-01,E1
2nd,C,2008-04-15,C,C,2012-10-15,C,C,C,2017-01-01,E2
3rd,2016-08-01,2005-03-15,2016-08-01,2011-07-22,2013-09-08,2016-08-01,2016-08-01,2016-08-01,2017-01-01,E3
Other Workers,2016-08-01,2005-03-15,2016-08-01,2011-07-22,2005-12-01,2016-08-01,2016-08-01,2016-08-01,2017-01-01,E3_U
4th,C,C,2015-07-15,C,C,C,2015-07-15,C,2017-01-01,E4
Certain Religious Workers,C,C,2015-07-15,C,C,C,2015-07-15,C,2017-01-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-04-08,C,C,C,2017-01-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-04-08,C,C,C,2017-01-01,E5
1st,C,C,C,C,C,C,C,C,2017-02-01,E1
2nd,C,2008-04-15,C,C,2012-11-15,C,C,C,2017-02-01,E2
3rd,2016-10-01,2005-03-22,2016-10-01,2011-10-15,2013-10-01,2016-10-01,2016-10-01,2016-10-01,2017-02-01,E3
Other Workers,2016-10-01,2005-03-22,2016-10-01,2011-10-15,2005-12-01,2016-10-01,2016-10-01,2016-10-01,2017-02-01,E3_U
4th,C,C,2015-07-15,C,C,C,2015-07-15,C,2017-02-01,E4
Certain Religious Workers,C,C,2015-07-15,C,C,C,2015-07-15,C,2017-02-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-04-15,C,C,C,2017-02-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-04-15,C,C,C,2017-02-01,E5
1st,C,C,C,C,C,C,C,C,2017-03-01,E1
2nd,C,2008-06-01,C,C,2012-12-15,C,C,C,2017-03-01,E2
3rd,2016-12-01,2005-03-22,2016-12-01,2012-03-15,2014-03-15,2016-12-01,2016-12-01,2016-12-01,2017-03-01,E3
Other Workers,2016-12-01,2005-03-22,2016-12-01,2012-03-15,2006-02-01,2016-12-01,2016-12-01,2016-12-01,2017-03-01,E3_U
4th,C,C,2015-07-15,C,C,C,2015-07-15,C,2017-03-01,E4
Certain Religious Workers,C,C,2015-07-15,C,C,C,2015-07-15,C,2017-03-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-05-01,C,C,C,2017-03-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-05-01,C,C,C,2017-03-01,E5
1st,C,C,C,C,C,C,C,C,2017-04-01,E1
2nd,C,2008-06-22,C,C,2013-01-15,C,C,C,2017-04-01,E2
3rd,2017-02-15,2005-03-24,2017-02-15,2012-09-15,2014-08-15,2017-02-15,2017-02-15,2017-02-15,2017-04-01,E3
Other Workers,2017-02-15,2005-03-24,2017-02-15,2012-09-15,2006-03-01,2017-02-15,2017-02-15,2017-02-15,2017-04-01,E3_U
4th,C,C,2015-07-15,C,C,C,2015-07-15,C,2017-04-01,E4
Certain Religious Workers,C,C,2015-07-15,C,C,C,2015-07-15,C,2017-04-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-05-22,C,C,C,2017-04-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-05-22,C,C,C,2017-04-01,E5
1st,C,C,C,C,C,C,C,C,2017-05-01,E1
2nd,C,2008-06-22,C,C,2013-02-08,C,C,C,2017-05-01,E2
3rd,2017-03-15,2005-03-25,2017-03-15,2013-01-01,2014-10-01,2017-03-15,2017-03-15,2017-03-15,2017-05-01,E3
Other Workers,2017-03-15,2005-03-25,2017-03-15,2013-01-01,2006-03-08,2017-03-15,2017-03-15,2017-03-15,2017-05-01,E3_U
4th,C,C,2015-07-15,C,C,C,2015-07-15,C,2017-05-01,E4
Certain Religious Workers,U,U,U,U,U,U,U,U,2017-05-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-06-01,C,C,C,2017-05-01,E5
5th Regional Center (I5 and R5),U,U,U,U,U,U,U,U,2017-05-01,E5
1st,C,2012-01-01,C,C,2012-01-01,C,C,C,2017-06-01,E1
2nd,C,2008-07-01,C,C,2013-03-01,C,C,C,2017-06-01,E2
3rd,2017-04-15,2005-05-15,2017-04-15,2013-05-01,2014-10-01,2017-04-15,2017-04-15,2017-04-15,2017-06-01,E3
Other Workers,2017-04-15,2005-05-15,2017-04-15,2013-05-01,2006-07-15,2017-04-15,2017-04-15,2017-04-15,2017-06-01,E3_U
4th,C,C,2015-07-15,C,C,C,2015-07-15,C,2017-06-01,E4
Certain Religious Workers,C,C,2015-07-15,C,C,C,2015-07-15,C,2017-06-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-06-08,C,C,C,2017-06-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-06-08,C,C,C,2017-06-01,E5
1st,C,2012-01-01,C,C,2012-01-01,C,C,C,2017-07-01,E1
2nd,C,2008-07-22,C,C,2013-03-22,C,C,C,2017-07-01,E2
3rd,2017-06-08,2006-02-15,2017-06-08,2014-05-15,2012-01-01,2017-06-08,2017-06-08,2017-06-08,2017-07-01,E3
Other Workers,2017-06-08,2006-02-15,2017-06-08,2014-05-15,2006-07-15,2017-06-08,2017-06-08,2017-06-08,2017-07-01,E3_U
4th,C,2015-08-15,2015-08-15,C,C,C,2015-08-15,C,2017-07-01,E4
Certain Religious Workers,C,2015-08-15,2015-08-15,C,C,C,2015-08-15,C,2017-07-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-06-08,C,C,C,2017-07-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-06-08,C,C,C,2017-07-01,E5
1st,C,2012-01-01,C,C,2012-01-01,C,C,C,2017-08-01,E1
2nd,2015-04-01,2008-07-22,2015-04-01,2015-04-01,2013-04-22,2015-04-01,2015-04-01,2015-04-01,2017-08-01,E2
3rd,C,2006-07-15,C,2015-06-01,2012-01-01,C,C,C,2017-08-01,E3
Other Workers,C,2006-07-15,C,2015-06-01,2004-01-01,C,C,C,2017-08-01,E3_U
4th,C,2015-09-15,2015-09-15,C,C,C,2015-09-15,C,2017-08-01,E4
Certain Religious Workers,C,2015-09-15,2015-09-15,C,C,C,2015-09-15,C,2017-08-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-06-15,C,C,C,2017-08-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-06-15,C,C,C,2017-08-01,E5
1st,C,2012-01-01,C,C,2012-01-01,C,C,C,2017-09-01,E1
2nd,2016-01-01,2008-08-22,2016-01-01,2016-01-01,2013-05-15,2016-01-01,2016-01-01,2016-01-01,2017-09-01,E2
3rd,C,2006-10-15,C,2015-11-01,2012-01-01,C,C,C,2017-09-01,E3
Other Workers,C,2006-10-15,C,2015-11-01,2004-01-01,C,C,C,2017-09-01,E3_U
4th,C,2015-10-22,2015-10-22,C,C,C,2015-10-22,C,2017-09-01,E4
Certain Religious Workers,C,2015-10-22,2015-10-22,C,C,C,2015-10-22,C,2017-09-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-06-15,C,C,C,2017-09-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-06-15,C,C,C,2017-09-01,E5
1st,C,C,C,C,C,C,C,C,2017-10-01,E1
2nd,C,2008-09-15,C,C,2013-05-22,C,C,C,2017-10-01,E2
3rd,C,2006-10-15,C,2015-12-01,2014-01-01,C,C,C,2017-10-01,E3
Other Workers,C,2006-10-15,C,2015-12-01,2006-01-01,C,C,C,2017-10-01,E3_U
4th,C,C,2016-03-01,C,C,C,2015-11-01,C,2017-10-01,E4
Certain Religious Workers,C,C,2016-03-01,C,C,C,2015-11-01,C,2017-10-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-06-22,C,C,C,2017-10-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-06-22,C,C,C,2017-10-01,E5
1st,C,C,C,C,C,C,C,C,2017-11-01,E1
2nd,C,2008-10-08,C,C,2013-06-15,C,C,C,2017-11-01,E2
3rd,C,2006-10-15,C,2016-01-15,2014-02-01,C,C,C,2017-11-01,E3
Other Workers,C,2006-10-15,C,2016-01-15,2006-04-01,C,C,C,2017-11-01,E3_U
4th,C,C,2016-04-01,C,C,C,2015-11-01,C,2017-11-01,E4
Certain Religious Workers,C,C,2016-04-01,C,C,C,2015-11-01,C,2017-11-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-07-01,C,C,C,2017-11-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-07-01,C,C,C,2017-11-01,E5
1st,C,C,C,C,C,C,C,C,2017-12-01,E1
2nd,C,2008-11-01,C,C,2013-07-01,C,C,C,2017-12-01,E2
3rd,C,2006-10-15,C,2016-01-15,2014-03-08,C,C,C,2017-12-01,E3
Other Workers,C,2006-10-15,C,2016-01-15,2006-07-01,C,C,C,2017-12-01,E3_U
4th,C,C,2016-04-22,C,C,C,2015-11-08,C,2017-12-01,E4
Certain Religious Workers,C,C,2016-04-22,C,C,C,2015-11-08,C,2017-12-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-07-15,C,C,C,2017-12-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-07-15,C,C,C,2017-12-01,E5
1st,C,C,C,C,C,C,C,C,2018-01-01,E1
2nd,C,2008-11-22,C,C,2013-08-08,C,C,C,2018-01-01,E2
3rd,C,2006-11-01,C,2016-02-15,2014-04-15,C,C,C,2018-01-01,E3
Other Workers,C,2006-11-01,C,2016-02-15,2006-12-22,C,C,C,2018-01-01,E3_U
4th,C,C,2016-06-01,C,C,C,2015-12-01,C,2018-01-01,E4
Certain Religious Workers,U,U,U,U,U,U,U,U,2018-01-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-07-22,C,C,C,2018-01-01,E5
5th Regional Center (I5 and R5),U,U,U,U,U,U,U,U,2018-01-01,E5
1st,C,C,C,C,C,C,C,C,2018-02-01,E1
2nd,C,2008-12-08,C,C,2013-10-01,C,C,C,2018-02-01,E2
3rd,C,2006-12-01,C,2016-03-01,2014-09-15,C,C,C,2018-02-01,E3
Other Workers,C,2006-12-01,C,2016-03-01,2007-02-01,C,C,C,2018-02-01,E3_U
4th,C,C,2016-06-22,C,C,C,2015-12-01,C,2018-02-01,E4
Certain Religious Workers,U,U,U,U,U,U,U,U,2018-02-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-07-22,C,C,C,2018-02-01,E5
5th Regional Center (I5 and R5),U,U,U,U,U,U,U,U,2018-02-01,E5
1st,C,C,C,C,C,C,C,C,2018-03-01,E1
2nd,C,2008-12-15,C,C,2013-12-08,C,C,C,2018-03-01,E2
3rd,C,2007-01-01,C,2016-05-01,2014-11-15,C,C,C,2018-03-01,E3
Other Workers,C,2007-01-01,C,2016-05-01,2007-03-01,C,C,C,2018-03-01,E3_U
4th,C,C,2016-07-01,C,C,C,2015-12-01,C,2018-03-01,E4
Certain Religious Workers,C,C,2016-07-01,C,C,C,2015-12-01,C,2018-03-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-07-22,C,C,C,2018-03-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-07-22,C,C,C,2018-03-01,E5
1st,C,2012-01-01,C,C,2012-01-01,C,C,C,2018-04-01,E1
2nd,C,2008-12-22,C,C,2014-08-01,C,C,C,2018-04-01,E2
3rd,C,2008-02-01,C,2017-01-01,2015-06-01,C,C,C,2018-04-01,E3
Other Workers,C,2008-02-01,C,2017-01-01,2007-04-01,C,C,C,2018-04-01,E3_U
4th,C,C,2016-08-08,C,C,C,2015-12-15,C,2018-04-01,E4
Certain Religious Workers,U,U,U,U,U,U,U,U,2018-04-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-07-22,C,C,C,2018-04-01,E5
5th Regional Center (I5 and R5),U,U,U,U,U,U,U,U,2018-04-01,E5
1st,C,2012-01-01,C,C,2012-01-01,C,C,C,2018-05-01,E1
2nd,C,2008-12-22,C,C,2014-09-01,C,C,C,2018-05-01,E2
3rd,C,2008-05-01,C,2017-01-01,2015-06-01,C,C,C,2018-05-01,E3
Other Workers,C,2008-05-01,C,2017-01-01,2007-05-01,C,C,C,2018-05-01,E3_U
4th,C,C,2016-10-22,C,C,C,2015-12-15,C,2018-05-01,E4
Certain Religious Workers,C,C,2016-10-22,C,C,C,2015-12-15,C,2018-05-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-07-22,C,C,2014-07-22,2018-05-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-07-22,C,C,2014-07-22,2018-05-01,E5
1st,C,2012-01-01,C,C,2012-01-01,C,C,C,2018-06-01,E1
2nd,C,2008-12-26,C,C,2014-09-01,C,C,C,2018-06-01,E2
3rd,C,2008-05-01,C,2017-01-01,2015-06-01,C,C,C,2018-06-01,E3
Other Workers,C,2008-05-01,C,2017-01-01,2007-05-01,C,C,C,2018-06-01,E3_U
4th,C,C,2016-10-22,C,C,C,2015-12-15,C,2018-06-01,E4
Certain Religious Workers,C,C,2016-10-22,C,C,C,2015-12-15,C,2018-06-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-08-01,C,C,2014-08-01,2018-06-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-08-01,C,C,2014-08-01,2018-06-01,E5
1st,C,2012-01-01,C,C,2012-01-01,C,C,C,2018-07-01,E1
2nd,C,2009-03-15,C,C,2015-01-01,C,C,C,2018-07-01,E2
3rd,C,2008-11-01,C,2017-01-01,2013-01-01,C,C,C,2018-07-01,E3
Other Workers,C,2008-11-01,C,2017-01-01,2007-05-01,C,C,C,2018-07-01,E3_U
4th,C,C,2016-02-08,C,C,C,2016-02-08,C,2018-07-01,E4
Certain Religious Workers,C,C,2016-02-08,C,C,C,2016-02-08,C,2018-07-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-08-01,C,C,2014-08-01,2018-07-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-08-01,C,C,2014-08-01,2018-07-01,E5
1st,2016-05-01,2012-01-01,2016-05-01,2016-05-01,2012-01-01,2016-05-01,2016-05-01,2016-05-01,2018-08-01,E1
2nd,C,2009-03-15,C,C,2015-03-01,C,C,C,2018-08-01,E2
3rd,C,2009-01-01,C,2017-06-01,2014-07-01,C,C,C,2018-08-01,E3
Other Workers,C,2009-01-01,C,2017-06-01,2007-05-01,C,C,C,2018-08-01,E3_U
4th,C,2016-02-08,2016-02-08,C,C,C,2016-02-08,C,2018-08-01,E4
Certain Religious Workers,C,2016-02-08,2016-02-08,C,C,C,2016-02-08,C,2018-08-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-08-01,C,C,2014-08-01,2018-08-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-08-01,C,C,2014-08-01,2018-08-01,E5
1st,2016-06-01,2012-01-01,2016-06-01,2016-06-01,2012-01-01,2016-06-01,2016-06-01,2016-06-01,2018-09-01,E1
2nd,2013-01-01,2007-01-01,2013-01-01,2013-01-01,2013-01-01,2013-01-01,2013-01-01,2013-01-01,2018-09-01,E2
3rd,2016-11-01,2003-01-01,2016-11-01,2016-11-01,2014-11-01,2016-11-01,2016-11-01,2016-11-01,2018-09-01,E3
Other Workers,2016-11-01,2003-01-01,2016-11-01,2016-11-01,2007-05-01,2016-11-01,2016-11-01,2016-11-01,2018-09-01,E3_U
4th,C,2016-02-15,2016-02-15,C,C,C,2016-02-15,C,2018-09-01,E4
Certain Religious Workers,C,2016-02-15,2016-02-15,C,C,C,2016-02-15,C,2018-09-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2014-08-08,C,C,2014-08-08,2018-09-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2014-08-08,C,C,2014-08-08,2018-09-01,E5
1st,2017-04-01,2016-06-01,2017-04-01,2017-04-01,2016-06-01,2017-04-01,2017-04-01,2017-04-01,2018-10-01,E1
2nd,C,2009-03-26,C,C,2015-04-01,C,C,C,2018-10-01,E2
3rd,C,2009-01-01,C,2017-06-01,2015-06-01,C,C,C,2018-10-01,E3
Other Workers,C,2009-01-01,C,2017-06-01,2007-05-01,C,C,C,2018-10-01,E3_U
